곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
Rip Mantan, Rahmat Tahalu, , , , 2, , 2022.11.05, Rahmat Tahalu, FUGA, POP / 일렉트로니카, 03:40
Ramadhan (Feat. Deby Ibrahim), Rahmat Tahalu, , , , 2, , 2022.11.05, Rahmat Tahalu, FUGA, POP / 일렉트로니카, 05:39
Kukis Rambutan, Rahmat Tahalu, , , , 1, , 2022.11.05, Rahmat Tahalu, FUGA, POP / 일렉트로니카, 06:21
Manyasal (Feat. Nando ms), Rahmat Tahalu, , , , 1, , 2022.11.05, Rahmat Tahalu, FUGA, POP / 일렉트로니카, 04:39
Di Rumah Aja, Rahmat Tahalu, , , , 2, , 2022.11.05, Rahmat Tahalu, FUGA, POP / 일렉트로니카, 04:32
Cuman Ngana, Rahmat Tahalu, , , , 0, , 2022.11.05, Rahmat Tahalu, FUGA, POP / 일렉트로니카, 04:14
Escape from the city, 도피, , , , 22, 1, 2022.11.07, 웨스트 코리아, (주)꾼엔터테인먼트아트앤컬쳐, 재즈 / 정통, 03:57
Medley Pra Elas Descer (Feat. MC THEUZIN ORIGINAL), Vitinho RDE, , , , 10, , 2022.11.07, Vitinho RDE (Dist. Tratore), 오차드, 재즈 / 애시드/퓨전, 01:44
Twin Flames, SHOLTO, , , , 9, , 2022.11.07, Sunglassesforjawsrecords, 오차드, 재즈 / 애시드/퓨전, 02:33
Here We Go (Feat. Judi SIlvano & Bruce Arnold & Joe Lovano), Sonic Twist®, , , , 5, , 2022.11.07, Muse Eek Publishing Inc., 오차드, 재즈 / 애시드/퓨전, 01:53
Fruits Rouges, Fusion Affair, , , , 7, , 2022.11.07, Chuwanaga, 오차드, 재즈 / 애시드/퓨전, 01:44
Bigger Image, Bastardz Music Lab (바스타즈 뮤직랩), , , , 5, , 2022.11.07, Bastardz Music Lab, 빅밴드, 재즈 / 애시드/퓨전, 03:04
수암로, uri, , , , 7, , 2022.11.07, uri, 빅밴드, 재즈 / 애시드/퓨전, 02:58
Recognize (excerpt), Jukwaa, , , , 5, , 2022.11.07, W.E.R.F., (주)뮤직카로마, 재즈 / 애시드/퓨전, 04:32
Gris et Liberte (Inst.), Smokin'TheJazz, , , , 2, , 2022.11.07, Loud Minority Productions, (주)뮤직카로마, 재즈 / 애시드/퓨전, 04:09
Dead End, Jay Kim (제이킴), , , , 3, 1, 2022.11.07, (주)오조호조, (주)프로시마뮤직엔터테인먼트, 재즈 / 애시드/퓨전, 04:17
You Don't Know Me, ROOT AREA & Christoph Grab, , , , 4, , 2022.11.07, Kontor New Media, (주)뮤직트리엔터테인먼트, 재즈 / 애시드/퓨전, 06:05
Oli's Balloon, Masako Ohta & Matthias Lindermayr, , , , 2, , 2022.11.07, Squama, (주)씨앤엘뮤직, 재즈 / 애시드/퓨전, 02:23
Instrumental Memory, Noah Barker, , , , 11, , 2022.11.07, FPE Records, Ingrooves Music Group, 재즈 / 애시드/퓨전, 01:38
Here's You Perfect (Live) (Feat. Eklesia Lovly), IichaL'Talantan, , , , 3, , 2022.11.06, IichaL'Talantan, FUGA, 재즈 / 애시드/퓨전, 02:49
Green Plant, Armaan Lord, , , , 26, , 2022.11.06, Dave Maddox, FUGA, 재즈 / 애시드/퓨전, 01:57
Desembersang for novemberbarn, Per Husby & Anne Lande, , , , 33, , 2022.11.06, Largoland, 오차드, 재즈 / 애시드/퓨전, 03:27
Bishara, Tom Skinner, , , , 29, , 2022.11.04, Brownswood Recordings, 워너뮤직, 재즈 / 애시드/퓨전, 05:38
The Serpent (Live - Montreux Jazz Festival 1995), Monty Alexander's Jamaican Project, , , , 37, , 2022.11.04, BMG Rights Management (UK) Ltd, 워너뮤직, 재즈 / 애시드/퓨전, 05:44
Crazy She Calls Me, Jesper Brun Pajor, , , , 50, , 2022.11.04, ClassJazz Independent Studio & Records, 오차드, 재즈 / 애시드/퓨전, 05:43
PUTRID CEILING, Kris T Reeder, , , , 44, , 2022.11.04, ELR XL, 오차드, 재즈 / 애시드/퓨전, 07:09
Half Nelson, Miles Davis & Charlie Parker, , , , 73, , 2022.11.04, Craft Recordings., Universal Music, 재즈 / 애시드/퓨전, 02:45
Have You Met Miss Jones?, George Shearing, , , , 63, , 2022.11.04, Craft Recordings., Universal Music, 재즈 / 애시드/퓨전, 02:56
Jump Lester Jump, Lester Young, , , , 60, , 2022.11.04, Craft Recordings., Universal Music, 재즈 / 애시드/퓨전, 03:17
Blue Silhouette (Remastered), Chris Connor, , , , 46, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 02:45
Black Byrd (Live), Donald Byrd, , , , 67, , 2022.11.04, UMG Recordings &  Inc., Universal Music, 재즈 / 애시드/퓨전, 08:11
Oop Bop Sh'bam, Billy Eckstine, , , , 51, , 2022.11.04, Craft Recordings., Universal Music, 재즈 / 애시드/퓨전, 03:05
E-Lail (The Night) (Remastered), Ahmed Abdul Malik, , , , 26, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 04:18
I Had A Dream (Remastered), Tony Scott, , , , 28, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 02:53
Opus De Funk (Remastered), Milt Jackson, , , , 26, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 13:28
I'm The Girl (Remastered), Sheila Jordan, , , , 34, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 04:06
There's A Story To Tell, Mangaliso, , , , 23, , 2022.11.04, Bhavani Entertainment And Investments, 오차드, 재즈 / 애시드/퓨전, 03:48
Serenade In Blue (Remastered), Ann Williams, , , , 25, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 02:29
God Bless The Child (Remastered), Billie Holiday & Tony Scott And His Orchestra, , , , 23, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 03:59
ABOMINATION, Dodo, , , , 18, , 2022.11.04, Dodo, FUGA, 재즈 / 애시드/퓨전, 03:28
Since I Fell For You (Take 3), Vince Guaraldi Trio, , , , 32, , 2022.11.04, Craft Recordings., Universal Music, 재즈 / 애시드/퓨전, 04:25
As It Should Be, Jakob Bro & Joe Lovano & Larry Grenadier & Thomas Morgan & Anders Christensen & Joey Baron & Jorge Rossy, , , , 21, , 2022.11.04, ECM Records GmbH, Universal Music, 재즈 / 애시드/퓨전, 05:29
Pore (Feat. Tobias Klein & Jelte Althuis & Henny Heikens), Fie Schouten, , , , 13, , 2022.11.04, ToonDist, FUGA, 재즈 / 애시드/퓨전, 08:17
Pink Champagne, Sundby Bros., , , , 10, , 2022.11.04, Imogena, 오차드, 재즈 / 애시드/퓨전, 06:56
A Bright Light, Ross Hammond, , , , 12, , 2022.11.04, Full Spectrum Records, 오차드, 재즈 / 애시드/퓨전, 15:39
행복을 기다리는 시간, 몽고반점, , , , 18, , 2022.11.04, A-Space, 뮤직플랫, 재즈 / 애시드/퓨전, 03:59
Page 22, The Second Nature, , , , 13, , 2022.11.04, The Second Nature, 오차드, 재즈 / 애시드/퓨전, 03:12
Nord, Kris T Reeder, , , , 13, , 2022.11.04, ELR XL, 오차드, 재즈 / 애시드/퓨전, 01:17
Did You Know ?, Emily's Garden, , , , 10, , 2022.11.04, Stateless Sounds, 오차드, 재즈 / 애시드/퓨전, 01:40
Groovy People (Feat. Tru), Benny Barksdale Jr., , , , 10, , 2022.11.04, Society Hill  &  EMG, 오차드, 재즈 / 애시드/퓨전, 03:55
You and Me, Tabloid, , , , 13, , 2022.11.04, Sony Music Entertainment, 오차드, 재즈 / 애시드/퓨전, 02:58
Juosta (Feat. Seela Sella), Aili Ikonen, , , , 10, , 2022.11.04, Laulan Music, 오차드, 재즈 / 애시드/퓨전, 04:03
Habakuk, Kristina Brodersen & Tobias Weindorf, , , , 9, , 2022.11.04, JazzSick Records, 오차드, 재즈 / 애시드/퓨전, 04:52
Oriental Jam (Remastered), Charles 'Chick' Ganimian And His Orientals, , , , 6, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 04:54
one day at a time, alhivi & Symoo, , , , 7, , 2022.11.04, Sunday, 오차드, 재즈 / 애시드/퓨전, 02:18
우러나다, Do&Be Sound, , , , 10, , 2022.11.04, Do&Be Sound, 빅밴드, 재즈 / 애시드/퓨전, 03:27
Wilhelm Tell : Overture (Feat. Henrik Hallberg & Vilhelm Bromander & Wille Alin), Filip Jers, , , , 3, , 2022.11.04, Naxos Sweden - Prophone Records, 오차드, 재즈 / 애시드/퓨전, 05:37
Tilbury Hill (Live) (Feat. Rick Mandyck & John Stowell), Scenes, , , , 7, , 2022.11.04, Origin Records, 오차드, 재즈 / 애시드/퓨전, 07:44
The Wolfpack, Odd Steinar Albrigtsen 5tet, , , , 4, , 2022.11.04, Recorda Records, 오차드, 재즈 / 애시드/퓨전, 06:34
My Heart Is Still, Isac Solo, , , , 5, , 2022.11.04, Isac Solo, FUGA, 재즈 / 애시드/퓨전, 02:25
Passage (Live) (Feat. Peter Sommer), Wil Swindler's Elevenet, , , , 8, , 2022.11.04, OA2 Records, 오차드, 재즈 / 애시드/퓨전, 03:17
Ivory Forest (Feat. John Scofield & Adam Nussbaum), Hal Galper, , , , 7, , 2022.11.04, Origin Records, 오차드, 재즈 / 애시드/퓨전, 07:37
Paris Sometimes, Eric Merlino, , , , 2, , 2022.11.04, Eric Merlino, FUGA, 재즈 / 애시드/퓨전, 03:34
Say It (Over And Over Again), Angela Rowles, , , , 4, , 2022.11.04, Angela Rowles, FUGA, 재즈 / 애시드/퓨전, 04:26
Betty's Tune (Feat. Rockelle Fortin & Terell Stafford & Tim Warfield & Bruce Barth & Dana Hall), Rodney Whitaker, , , , 2, , 2022.11.04, Origin Records, 오차드, 재즈 / 애시드/퓨전, 04:55
I Wanted To Tell You, Douglas Ruby Trio, , , , 2, , 2022.11.04, Douglas Ruby Trio, FUGA, 재즈 / 애시드/퓨전, 02:50
How My Heart Sings, Brandy Charles, , , , 1, , 2022.11.04, Brandy Charles, FUGA, 재즈 / 애시드/퓨전, 03:08
It's Not Over Yet, Isac Solo Trio, , , , 1, , 2022.11.04, Isac Solo Trio, FUGA, 재즈 / 애시드/퓨전, 03:16
Lady Bird, Cole Laurence, , , , 6, , 2022.11.04, Cole Laurence, FUGA, 재즈 / 애시드/퓨전, 01:49
Longing For Love, Archie Taylor, , , , 2, , 2022.11.04, Archie Taylor, FUGA, 재즈 / 애시드/퓨전, 04:00
Clouds, Geeder, , , , 2, , 2022.11.04, Geeder, FUGA, 재즈 / 애시드/퓨전, 03:29
Dindi, Karl-Erik, , , , 2, , 2022.11.04, Karl-Erik, FUGA, 재즈 / 애시드/퓨전, 02:19
Estate, Saginaw Society, , , , 4, , 2022.11.04, Saginaw Society, FUGA, 재즈 / 애시드/퓨전, 03:34
East Of The Sun, Ben Hubert, , , , 5, , 2022.11.04, Ben Hubert, FUGA, 재즈 / 애시드/퓨전, 03:14
All My Tomorrows, Chuck Ingels, , , , 9, , 2022.11.04, Chuck Ingels, FUGA, 재즈 / 애시드/퓨전, 05:13
All The Things You Are, Kevin Richard, , , , 5, , 2022.11.04, Kevin Richard, FUGA, 재즈 / 애시드/퓨전, 02:40
Glitch Party 1 (Feat. Chris Pitsiokos), Tempo Reale Electroacoustic Ensemble, , , , 1, , 2022.11.04, Elli Records, 오차드, 재즈 / 애시드/퓨전, 07:43
500 miles High, Maurice Green, , , , 4, , 2022.11.04, Maurice Green, FUGA, 재즈 / 애시드/퓨전, 02:27
Simple Wish, Paddington St. Group, , , , 4, , 2022.11.04, Paddington St. Group, FUGA, 재즈 / 애시드/퓨전, 03:13
Stargazer, Alfredo Evans, , , , 1, , 2022.11.04, Alfredo Evans, FUGA, 재즈 / 애시드/퓨전, 03:12
That Old Feeling, Eric Rowland, , , , 6, , 2022.11.04, Eric Rowland, FUGA, 재즈 / 애시드/퓨전, 04:05
The Golden Star, Will Rivers Trio, , , , 3, , 2022.11.04, Will Rivers Trio, FUGA, 재즈 / 애시드/퓨전, 02:58
The Long and Winding Road, Pearl Street Trio, , , , 4, , 2022.11.04, Pearl Street Trio, FUGA, 재즈 / 애시드/퓨전, 03:27
We Might Be Friends, South North, , , , 1, , 2022.11.04, South North, FUGA, 재즈 / 애시드/퓨전, 03:26
White Juju VI. Sanctuary (Feat. Rick Simpson & Nick Jurd & Gregory Hutchinson) (Live), Soweto Kinch & London Symphony Orchestra & Lee Reynolds, , , , 6, , 2022.11.04, LSO Live, Pias UK Limited, 재즈 / 애시드/퓨전, 07:31
Yasumi, Akio, , , , 2, , 2022.11.04, Akio, FUGA, 재즈 / 애시드/퓨전, 03:49
Young And Foolish, Eduard Landings, , , , 3, , 2022.11.04, Eduard Landings, FUGA, 재즈 / 애시드/퓨전, 04:33
설레이는 구름, JD, , , , 29, 1, 2022.11.04, JD, ㈜디지탈레코드, 재즈 / 애시드/퓨전, 03:48
Aerosol, Das Freie Orchester, , , , 0, , 2022.11.04, NCR &  Kröten Recordings, 오차드, 재즈 / 애시드/퓨전, 08:02
Don't Know Why, Jasmine Patterson, , , , 1, , 2022.11.04, Jasmine Patterson, FUGA, 재즈 / 애시드/퓨전, 04:35
Sambal, M.CHUZI, , , , 2, , 2022.11.04, SDBAN ULTRA, (주)뮤직카로마, 재즈 / 애시드/퓨전, 05:56
S'Wonderful, Earl Hines, , , , 103, , 2022.11.04, Nippon Columbia, (주)뮤직카로마, 재즈 / 정통, 03:52
Chucks & Pearl Snaps (Feat. Jason 'JT' Thomas & Wes Stephenson), Mark Lettieri, , , , 4, , 2022.11.04, GroundUP Music LLC, 오차드, 재즈 / 애시드/퓨전, 04:19
I. There Is Light, Minnie Collective, , , , 4, 1, 2022.11.04, ABC Jazz, 오차드, 재즈 / 애시드/퓨전, 06:28
Goodbye My Love, Nana Rashid, , , , 3, , 2022.11.04, April Records & Music Co., 오차드, 재즈 / 애시드/퓨전, 05:03
Diga, Bruut!, , , , 1, , 2022.11.04, Excelsior Recordings, 오차드, 재즈 / 애시드/퓨전, 03:42
Dusk (Feat. John Surman & Erlend Slettevoll), Terje Gewelt, , , , 4, , 2022.11.04, Resonant Music, 오차드, 재즈 / 애시드/퓨전, 04:44
I Had a King, Rossana Casale, , , , 3, , 2022.11.04, Incipit Records, FUGA, 재즈 / 애시드/퓨전, 05:26
Smoke Gets In Your Eyes No. 6, Cory Smythe, , , , 2, , 2022.11.04, Pyroclastic Records, 오차드, 재즈 / 애시드/퓨전, 03:59
Hey Ye Ye Yeah (Slow), Bear Garden, , , , 3, , 2022.11.04, Bolero Recordings, 오차드, 재즈 / 애시드/퓨전, 02:51
Oxide Tape, Victor Lundberg, , , , 5, 1, 2022.11.04, Epidemic Sound, FUGA, 재즈 / 애시드/퓨전, 04:04
Summer Day, Empty Landscapes, , , , 2, , 2022.11.04, Dynamoi, 오차드, 재즈 / 애시드/퓨전, 07:41
Lakes and Rivers, Aether Gaze, , , , 4, , 2022.11.04, Dynamoi, 오차드, 재즈 / 애시드/퓨전, 09:17
Peace and Quiet, Easy Breeze, , , , 0, , 2022.11.04, Dynamoi, 오차드, 재즈 / 애시드/퓨전, 08:48
Rainy Land, Nesting Light, , , , 2, , 2022.11.04, Dynamoi, 오차드, 재즈 / 애시드/퓨전, 08:30
Fountain, Counting Moonlight, , , , 3, , 2022.11.04, Dynamoi, 오차드, 재즈 / 애시드/퓨전, 09:11
Honeymoon, Bedtime Beats, , , , 3, , 2022.11.04, Bedtime Beats, 오차드, 재즈 / 애시드/퓨전, 02:26
Quiet Escape, Airy Flow, , , , 3, , 2022.11.04, Dynamoi, 오차드, 재즈 / 애시드/퓨전, 08:24
Round Trip (Feat. David Murray), Lydian Sound Orchestra & Riccardo Brazzale, , , , 4, , 2022.11.04, Parco della Musica Records, FUGA, 재즈 / 애시드/퓨전, 04:54
Just the Night, Stephanie Lottermoser, , , , 4, , 2022.11.04, Jazzline, 오차드, 재즈 / 애시드/퓨전, 03:49
Something Left Unsaid, Bladverk Band, , , , 2, , 2022.11.04, Epidemic Sound, FUGA, 재즈 / 애시드/퓨전, 02:49
No Exit, Aytun & Can Menek, , , , 0, , 2022.11.04, Kintu Muntu Works, 오차드, 재즈 / 애시드/퓨전, 02:09
Pluto (Feat. Ross Stanley & Misha Mullov-Abbado & Rod Youngs), O'Higgins & Luft & Dave O'Higgins & Rob Luft, , , , 3, , 2022.11.04, Ubuntu Music, 오차드, 재즈 / 애시드/퓨전, 05:41
Intro, Daniel Migliosi, , , , 2, , 2022.11.04, Mons Records, 오차드, 재즈 / 애시드/퓨전, 01:05
In Your Own Sweet Way (Live), Kirk Lightsey, , , , 3, , 2022.11.04, Cellar Live, 오차드, 재즈 / 애시드/퓨전, 10:01
Let Go, We Float, , , , 4, , 2022.11.04, Havtorn Records, 오차드, 재즈 / 애시드/퓨전, 05:40
Cesca (Feat. Simon Ratcliffe & Moses Boyd & Binker Golding), Village of the Sun, , , , 5, , 2022.11.04, Gearbox Records Limited, 오차드, 재즈 / 애시드/퓨전, 05:07
#3 (Rhubarb), Brendan Eder Ensemble, , , , 1, , 2022.11.04, Brendan Eder Ensemble, FUGA, 재즈 / 애시드/퓨전, 07:17
As We Are, Sun-Mi Hong, , , , 3, , 2022.11.04, Edition Records, 오차드, 재즈 / 애시드/퓨전, 06:52
Coming Back, Gerardo Delgado, , , , 3, , 2022.11.04, Healing Music, 오차드, 재즈 / 애시드/퓨전, 03:40
We're Still Open, Bangkok Lingo, , , , 0, , 2022.11.04, NXN Recordings &  Naxos Norway, 오차드, 재즈 / 애시드/퓨전, 09:20
La verace via abbandonai, Angelo Gregorio, , , , 0, , 2022.11.04, Angelo Gregorio, FUGA, 재즈 / 애시드/퓨전, 02:12
Novembre, JF Trio, , , , 2, , 2022.11.04, Pside, 오차드, 재즈 / 애시드/퓨전, 05:38
I Feel Foolish (Feat. Daniel Barta), Caity Gyorgy, , , , 1, , 2022.11.04, La Reserve Records, 오차드, 재즈 / 애시드/퓨전, 03:09
Life Goes On (Feat. Sampa the Great), Ezra Collective & Sampa the Great, , , , 5, , 2022.11.04, Partisan Records, Pias UK Limited, 재즈 / 애시드/퓨전, 03:24
True Love's Flame (Feat. Anna Serierse), Benjamin Herman, , , , 1, , 2022.11.04, Dox Records, FUGA, 재즈 / 애시드/퓨전, 03:15
Soufi dance, Andre Manoukian, , , , 3, , 2022.11.04, [PIAS] Le Label, Pias UK Limited, 재즈 / 애시드/퓨전, 04:30
The Dance of Princess Discombobulatrix, Reinier Baas & Jonas Burgwinkel & Kit Downes, , , , 0, , 2022.11.04, Dox Records, FUGA, 재즈 / 애시드/퓨전, 05:37
Epistrophy (Feat. Oscar Jan Hoogland & Keefe Jackson & Joshua Abrams & Mikel Patrick Avery), These Things Happen, , , , 0, , 2022.11.04, ToonDist, FUGA, 재즈 / 애시드/퓨전, 03:37
Benjamin, Gold Leader, , , , 4, , 2022.11.04, AudioSalad, 리플레이뮤직, 재즈 / 애시드/퓨전, 04:27
Promise Me You'll Remember (Love Theme from 'The Godfather Part III'), Lance Ellington, , , , 73, , 2022.11.04, Silva Screen Records Ltd., 뮤직마인레코드, 재즈 / 정통, 05:14
Spring Again, 또봄, , , , 5, , 2022.11.04, 또봄, (주)오렌지커뮤니케이션즈, 재즈 / 애시드/퓨전, 01:04
Broken Piece, Katu Kaiku, , , , 2, , 2022.11.04, Eclipse Music, 인피니스(Infiniss), 재즈 / 애시드/퓨전, 05:18
Samai Maata, Heiskanen Bayatz Baharat, , , , 4, , 2022.11.04, Eclipse Music, 인피니스(Infiniss), 재즈 / 애시드/퓨전, 05:30
Buzzing Bee, Gabi Hartmann, , , , 0, , 2022.11.04, Masterworks, Sony Music, 재즈 / 애시드/퓨전, 03:22
Caleidoscopio, Rayuela, , , , 12, , 2022.11.04, Independiente, Ingrooves Music Group, 재즈 / 애시드/퓨전, 04:41
Marauders (Feat. Dominic Lalli & Eric Benny Bloom & Hunter Roberts), BTTRFLY Quintet & Borahm Lee & Adam Deitch, , , , 13, , 2022.11.04, Mocean Records LLC, Ingrooves Music Group, 재즈 / 애시드/퓨전, 04:46
Serpentine Fire, Leo'P, , , , 8, , 2022.11.04, Shanachie, Ingrooves Music Group, 재즈 / 애시드/퓨전, 03:30
God Knows, Tony Gordon, , , , 0, , 2022.11.04, Universal Music Ltda, Universal Music, 재즈 / 애시드/퓨전, 04:10
Beautiful Friendship (Remastered), Fran Lacey, , , , 197, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 03:27
Eli Green's Cake-Walk (Remastered), Joseph Cullen & Williams Collins, , , , 266, , 2022.11.04, Rev-Ola, FUGA, 재즈 / 애시드/퓨전, 02:12
친구, 정소리, 정소리, 정소리, , 46, 1, 2022.11.03, 제이사운드랩, 뮤직앤뉴, 재즈 / 애시드/퓨전, 04:13
Goose Island, Cavan Charles, , , , 18, , 2022.11.03, Anais Merritt, FUGA, 재즈 / 애시드/퓨전, 01:57
Glow Crazy, Duncan Zuniga, , , , 17, , 2022.11.03, Dania Hays, FUGA, 재즈 / 애시드/퓨전, 01:57
Fortune, Solomon Villarreal, , , , 16, , 2022.11.03, Kailan Wright, FUGA, 재즈 / 애시드/퓨전, 01:57
shed one, Dodo, , , , 13, , 2022.11.03, Dodo, FUGA, 재즈 / 애시드/퓨전, 02:39
Summertime, Davide Ambrosia, , , , 13, , 2022.11.03, Davide Ambrosia, FUGA, 재즈 / 애시드/퓨전, 03:06
Digital Mind, 한충완, 한충완, 한충완, , 15, , 2022.11.03, TiGon, 미러볼뮤직, 재즈 / 애시드/퓨전, 03:17
We Gettin' Down, NAUTILUS, , , , 14, , 2022.11.03, URBAN DISCOS, (주)뮤직카로마, 재즈 / 애시드/퓨전, 04:08
All I Want, Sunaga t experience & J.Lamotta Suzume, , , , 109, , 2022.11.03, Flower Records, (주)뮤직카로마, 재즈 / 정통, 04:54
From a Flicker to a Flame..., Nicholas Payton, , , , 8, , 2022.11.03, Smoke Sessions, 오차드, 재즈 / 애시드/퓨전, 04:14
Go Deep, Dimension, , , , 10, , 2022.11.03, ZAIN RECORDS, 칠리뮤직코리아, 재즈 / 애시드/퓨전, 05:28
Speak Low (Session #1), Reginald Chapman & Pressure Fit, , , , 9, , 2022.11.03, Fresh Selects, 리플레이뮤직, 재즈 / 애시드/퓨전, 04:36
mi-chemin, NGBelfort, , , , 0, , 2022.11.02, N.G.Belfort, FUGA, 재즈 / 애시드/퓨전, 01:43
La mer, James Earle, , , , 0, , 2022.11.02, James Earle, FUGA, 재즈 / 애시드/퓨전, 01:49
Ripples of a Stream, Jacob Vidal, , , , 0, , 2022.11.02, Jacob Vidal, FUGA, 재즈 / 애시드/퓨전, 02:02
Goldberg Variations BWV 988 : Variation VII. Al tempo di giga, Fazil Say, , , , 118, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 02:11
Once in Royal David's City (Arr. Mann & Willcocks) (Feat. Ian Hare), Choir of King's College & Cambridge, , , , 75, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 05:15
Moments musicaux Op. 94 D. 780 : No. 1 in C Major, Claudio Arrau, , , , 67, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 05:38
Daydreamer, Ronan Spoor, , , , 69, , 2022.11.04, JKMC Label Services, 워너뮤직, 클래식 / 관현악, 02:37
Sonata for Solo Violin No. 1 in G Minor BWV 1001 : I. Adagio (Arr. Barrueco for Guitar), Manuel Barrueco, , , , 58, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 03:57
T(w)O Work : If the mirror could talk, Jef Neve, , , , 58, , 2022.11.04, Jef Neve, 워너뮤직, 클래식 / 관현악, 01:53
Piano Sonata No. 21 in B-Flat Major D. 960 : III. Scherzo (Allegro vivace con delicatezza - Trio), Leonie Karatas, , , , 64, , 2022.11.04, EuroArts Music International, 워너뮤직, 클래식 / 관현악, 04:03
Lullaby for the Desolate, Night Animals, , , , 54, , 2022.11.04, MOON TUNES, 워너뮤직, 클래식 / 관현악, 03:08
6 Consolations S. 172 : No. 3 in D-Flat Major, Alim Beisembayev, , , , 53, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 04:22
Little Wallflowers - Autumn in Paris, Conrad Miller, , , , 67, , 2022.11.04, Isolde Records, 워너뮤직, 클래식 / 관현악, 02:28
My First Love, Floris Boere, , , , 67, , 2022.11.04, Andante Piano, 워너뮤직, 클래식 / 관현악, 02:15
Yearnings, Tjeerd Oosterhuis, , , , 56, , 2022.11.04, Andante Piano, 워너뮤직, 클래식 / 관현악, 02:39
Ray Of Hope, Anthony Jacobus, , , , 64, , 2022.11.04, Andante Piano, 워너뮤직, 클래식 / 관현악, 02:54
Melia (After The Storm), Dennis Korn & Amelie Korn, , , , 55, , 2022.11.04, Piano And Nature, 워너뮤직, 클래식 / 관현악, 02:23
Forgive, Dobrawa Czocher, , , , 57, , 2022.11.04, Modern Recordings, 워너뮤직, 클래식 / 관현악, 04:33
Now, Oscar Pascasio, , , , 68, , 2022.11.04, Andante Piano, 워너뮤직, 클래식 / 관현악, 02:11
Piano Concerto No. 1 in D Minor Op. 15 : I. Maestoso (Streaming Ver.), Daniel Barenboim & Sir John Barbirolli, , , , 69, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 23:34
When A Child Is Born, Ron Adelaar, , , , 52, , 2022.11.04, Andante Piano, 워너뮤직, 클래식 / 관현악, 02:11
Let All Mortal Flesh Keep Silence, Alstad, , , , 100, , 2022.11.04, Andante Piano, 워너뮤직, 클래식 / 관현악, 02:44
Suite No. 4 in D Minor HWV 437 : III. Sarabande, Jupiter & Thomas Dunford, , , , 60, , 2022.11.04, Warner Classics, 워너뮤직, 클래식 / 관현악, 05:44
Two Different Minds., CHRISTIAN, , , , 147, , 2022.11.04, Nordic Euphony Records, 오차드, 클래식 / 관현악, 02:16
A Love Worth Fighting For : I. Love, Flinders Quartet, , , , 59, , 2022.11.04, ABC Classic, 오차드, 클래식 / 관현악, 07:16
Behold for cello quartet, Inbal Segev & Caleb van der Swaagh & Brook Speltz & Karen Ouzounian, , , , 61, , 2022.11.04, AVIE Records, 오차드, 클래식 / 관현악, 04:32
Kreisler : Rondino On A Theme By Beethoven (크라이슬러 : 베토벤 주제에 의한 론디노), 김응수 (Edwin E.S. Kim), , , , 124, , 2022.11.04, 김응수, Universal Music, 클래식 / 관현악, 02:46
Mendelssohn : Spring Song Op. 62 No. 6 (Arr. Kross for Violin and Piano), Christian Li & James Baillieu, , , , 87, , 2022.11.04, Universal Music Operations Limited, Universal Music, 클래식 / 관현악, 02:29
Night Horse, Sarah Spring, , , , 95, , 2022.11.04, 1631 Recordings AB, Universal Music, 클래식 / 크로스오버, 02:24
Waltz in Bb Minor, Taichi Chishaki, , , , 80, , 2022.11.04, 1631 Recordings AB, Universal Music, 클래식 / 크로스오버, 02:07
My Lost Doll, Cinthya Garcia, , , , 81, , 2022.11.04, 1631 Recordings AB, Universal Music, 클래식 / 크로스오버, 02:28
The Wardrobe (from 'The Chronicles Of Narnia； The Lion The Witch and The Wardrobe'), Elliott Jacques, , , , 87, , 2022.11.04, Universal Music Operations Limited, Universal Music, 클래식 / 크로스오버, 02:44
Dicker : Stay Still, Christopher Dicker, , , , 64, , 2022.11.04, 1631 Recordings AB, Universal Music, 클래식 / 관현악, 01:54
Someday Maybe, Shivre, , , , 54, , 2022.11.04, 1631 Recordings AB, Universal Music, 클래식 / 크로스오버, 02:11
Forever, Affinity88, , , , 52, , 2022.11.04, 1631 Recordings AB, Universal Music, 클래식 / 크로스오버, 02:12
