곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
comfort zone, 리플리 (RIPLEY), 리플리 (RIPLEY) & mnsx, 리플리 (RIPLEY), mnsx & 리플리 (RIPLEY), 662, 5, 2022.11.07, 소행성뮤직, 더 볼트, 가요 / 인디, 03:15
Mirage (Inst.), Hip Hop Joy, Hip Hop Joy, Hip Hop Joy, , 7, , 2022.11.07, Hip Hop Joy, 뮤직플랫, 가요 / 랩/힙합, 02:25
광윤은 혼란스럽다, 리슨미, 리슨미, 리슨미, , 2, , 2022.11.07, LISTEN ME WORLD, 주식회사 루미넌트엔터테인먼트, 가요 / 일렉트로니카, 02:10
재창조, lil changone, beccaisleeping, lil changone, lil changone, 5, , 2022.11.07, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 02:00
pung! (Prod. by Lockda), BLUEVERRY, Lockda (락다) & BLUEVERRY, BLUEVERRY, Lockda (락다), 11, 5, 2022.11.07, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 03:28
Time, sehong, sehong, sehong, sehong, 5, , 2022.11.07, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 02:30
기대주의보, 크리스탈 김수정, 크리스탈 김수정, 크리스탈 김수정, 이박, 6, 1, 2022.11.07, 김수정, 미러볼뮤직, 가요 / 인디, 04:21
보고픈 울 엄마, 현아, , , , 14, 1, 2022.11.07, 낭만기획, ㈜디지탈레코드, 가요 / 트로트, 03:45
미몽 (迷夢), 여름, 여름, 여름, Utopi (유토피), 9, 1, 2022.11.07, YeoReum, 미러볼뮤직, 가요 / 인디, 02:46
사랑에게 말하다 (해금 Ver.), 이윤희, , , , 14, 1, 2022.11.07, WCJ Music, ㈜디지탈레코드, 가요 / 트로트, 04:47
Dawn, Vllure (블루어), Vllure (블루어), Vllure (블루어), Vllure (블루어), 9, , 2022.11.07, Vllure, 주식회사 루미넌트엔터테인먼트, 가요 / R&B/소울, 03:22
선물 (Little Forest), 새벽공방, 민중 & 박진우 & 서기 & Axir & 이상목 & 장효선, 김혜정 & 맹주인 & Axir & 유연 & 402, 민중 & 서기, 1774, 32, 2022.11.07, 아이엠 프로젝트, 쿼터뮤직, 가요 / 발라드, 03:15
King Of The Ring (Original Mix), The3, The3, The3, , 4, , 2022.11.07, HOURGLAXX Records, (주)뮤직카로마, 가요 / 일렉트로니카, 03:04
유영, 원니, 원니, 원니, 원니 & 김형주 & 송예준 & 안성균 (Panic) & 전현근 & 조현우, 7, 3, 2022.11.07, 원니, 미러볼뮤직, 가요 / 인디, 04:01
Ture Believer (Original Mix), Carbonatez, Carbonatez, Carbonatez, , 5, , 2022.11.07, HOURGLAXX Records, (주)뮤직카로마, 가요 / 일렉트로니카, 04:36
잔기침, 매튜 (MATTHEW), 매튜 (MATTHEW), 매튜 (MATTHEW), 매튜 (MATTHEW) & 최민재, 14, , 2022.11.07, Coldly Soft, (주)뮤직카로마, 가요 / 발라드, 03:15
